division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4252,Kenny,Bytoft,,SWE,Production,-5.75,18.26,28.52,-67.3,1,-9.73
4253,Birgitta,Green Jeppsson,bonnie,SWE,Production,-5.78,24.95,36.51,-84.58,2,-9.78
4254,Marcus,Marcusson,mackan72,SWE,Production,-5.78,19.95,30.57,-71.76,2,-9.78
4255,Jan,Jaso,,SWE,Production,-5.78,18.29,28.6,-67.51,1,-9.79
4256,Fredrik,Fälth,frefa,SWE,Production,-5.78,17.85,28.08,-66.39,1,-9.79
4257,Lars,Szakaly,,SWE,Production,-5.8,16.75,26.79,-63.62,2,-9.81
4258,Britta,Fredin,,SWE,Production,-5.81,18.48,28.85,-68.08,1,-9.83
4259,Elisabeth,Ekströmer,,SWE,Production,-5.81,14.73,24.4,-58.47,6,-9.83
4260,Elliot,Edblom,,SWE,Production,-5.81,18.71,29.14,-68.7,1,-9.83
4261,Tom,Karlsson,,SWE,Production,-5.82,16.15,26.11,-62.18,2,-9.86
4262,Karolina,Floberg,,SWE,Production,-5.85,7.82,16.24,-40.89,16,-9.9
4263,Daniel,Vura,leinad,SWE,Production,-5.87,18.0,28.37,-67.11,1,-9.94
4264,Anna,Norén,,SWE,Production,-5.88,20.74,31.63,-74.14,1,-9.95
4265,Hilmar,Hilmarsson,,SWE,Production,-5.88,17.75,28.08,-66.48,1,-9.95
4266,Daniel,Balbarrey,balbarrey,SWE,Production,-5.89,15.69,25.63,-61.21,4,-9.96
4267,Rasmus,Rehn,,SWE,Production,-5.9,18.65,29.17,-68.86,1,-9.99
4268,David,Sandström,,SWE,Production,-5.91,17.92,28.31,-67.02,1,-10.01
4269,Karin,Strachal,,SWE,Production,-5.91,17.83,28.21,-66.81,1,-10.01
4270,Andreas,Bovin,fantomen,SWE,Production,-5.91,17.62,27.96,-66.26,3,-10.01
4271,Anette,Lundberg,,SWE,Production,-5.92,16.59,26.76,-63.67,7,-10.03
4272,Gabriella,Galakvosciute,,SWE,Production,-5.94,17.81,28.22,-66.85,1,-10.05
4273,Mats,Edin,,SWE,Production,-5.96,17.76,28.18,-66.78,1,-10.09
4274,Alexander,Lind,,SWE,Production,-5.96,14.83,24.71,-59.28,4,-10.09
4275,martin,jarlenäs,,SWE,Production,-5.98,15.09,25.03,-60.0,7,-10.12
4276,David,Lindberg,,SWE,Production,-5.99,18.79,29.44,-69.54,3,-10.14
4277,Anders,Bengtsson,abe75,SWE,Production,-6.0,18.02,28.54,-67.61,2,-10.16
4278,Jan,Arleij,,SWE,Production,-6.0,15.28,25.29,-60.59,3,-10.17
4279,Susann,Hermansson,,SWE,Production,-6.02,15.8,25.93,-62.0,3,-10.2
4280,Oskar,Wiklund,,SWE,Production,-6.03,18.47,29.1,-68.84,1,-10.2
4281,Jeanette,Frisegård,,SWE,Production,-6.04,19.65,30.52,-71.92,2,-10.22
4282,Sara,Johansson,pyroananas,SWE,Production,-6.05,14.75,24.72,-59.41,4,-10.24
4283,André,Svanborg,,SWE,Production,-6.08,16.24,26.51,-63.3,2,-10.29
4284,Johan,Berglund,,SWE,Production,-6.1,18.25,28.93,-68.54,2,-10.32
4285,Lina,Norum,,SWE,Production,-6.1,23.28,34.91,-81.45,1,-10.33
4286,Jens,Pettersson,,SWE,Production,-6.11,17.71,28.3,-67.19,1,-10.34
4287,Per,Qvarngård,,SWE,Production,-6.13,18.43,29.18,-69.12,1,-10.38
4288,Peter,Hammarström,,SWE,Production,-6.19,17.57,28.23,-67.12,1,-10.48
4289,Linn,Lundberg,pewpewlinn,SWE,Production,-6.19,17.4,28.03,-66.68,1,-10.48
4290,Hannah,Hedström,hannah,SWE,Production,-6.19,17.82,28.53,-67.76,1,-10.48
4291,Hanne,Bödker,,SWE,Production,-6.19,17.52,28.18,-67.01,1,-10.48
4292,Birk,Rödén Ahlström,,SWE,Production,-6.2,18.28,29.09,-69.0,1,-10.5
4293,Isabella,Lang,isabellalang,SWE,Production,-6.21,12.72,22.49,-54.76,6,-10.52
4294,Hans,Blomqvist,hasse,SWE,Production,-6.23,18.13,28.95,-68.71,1,-10.55
